Model,Train,Test
Basic,0.8572250008583069,0.7857015132904053
Dropout,0.8392215967178345,0.7952715754508972
Dropout+LRS,0.834736704826355,0.7937809228897095
Dropout+BN,0.8502101898193359,0.7887424826622009
Dropout+L2_regul,0.784546971321106,0.7796791791915894
Dropout+Noise,0.8248981237411499,0.794496476650238
Dropout+Noise+Layers,0.828066885471344,0.7945858836174011
Dropout+L2_regul+Layers,0.8332417607307434,0.7891300320625305
Dropout+BN+Layers,0.8541328310966492,0.7922306656837463
L2_regul+BN+Layers,0.9277052879333496,0.7444397807121277
Dropout+L2_regul+BN+Layers,0.839937150478363,0.7846282124519348
